Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric",163.334000,-97.800000,0.000000,top
"C2","22u","C_0805_2012Metric",168.200000,-103.200000,90.000000,top
"C3","100n","C_0402_1005Metric",150.900000,-99.500000,0.000000,top
"C4","10p","C_0402_1005Metric",144.200000,-92.100000,90.000000,top
"C5","10u","C_0603_1608Metric",151.400000,-85.700000,0.000000,top
"C6","100n","C_0402_1005Metric",159.842000,-90.500000,-90.000000,top
"C7","10p","C_0402_1005Metric",144.200000,-94.300000,90.000000,top
"C8","100n","C_0402_1005Metric",151.488000,-87.158000,0.000000,top
"C9","100n","C_0402_1005Metric",147.800000,-89.700000,90.000000,top
"C10","100n","C_0402_1005Metric",156.900000,-98.800000,180.000000,top
"C11","10n","C_0402_1005Metric",148.000000,-94.200000,90.000000,top
"C12","1u","C_0402_1005Metric",146.700000,-94.200000,90.000000,top
"C13","1u","C_0402_1005Metric",141.300000,-96.500000,180.000000,top
"D1","RED","LED_0603_1608Metric",174.300000,-98.400000,90.000000,top
"FB1","120R","L_0603_1608Metric",144.000000,-96.400000,180.000000,top
"J1","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",147.828000,-106.299000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",154.381000,-81.443000,-90.000000,top
"J3","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",171.945000,-91.700000,90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",165.862000,-81.443000,-90.000000,top
"R1","1k5","R_0402_1005Metric",174.173000,-100.711500,0.000000,top
"R2","1k5","R_0402_1005Metric",150.600000,-103.700000,0.000000,top
"R3","1k5","R_0402_1005Metric",152.800000,-103.700000,180.000000,top
"R4","10k","R_0402_1005Metric",139.649000,-89.317000,90.000000,top
"R5","1K5","R_0402_1005Metric",162.300000,-91.100000,-90.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",135.500000,-89.063000,-90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",163.300000,-103.707000,-90.000000,top
"U2","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",154.000000,-93.000000,0.000000,top
"Y1","16 MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",141.770000,-93.200000,-90.000000,top
